General : Specimen number (included),1,,,
Specimen choice input : Material,<None>,,,
Specimen properties : Geometry,Rectangular,,,
Specimen properties : Length,50,mm,,
Specimen properties : Thickness,3.06,mm,,
Specimen properties : Width,11.6,mm,,
Specimen properties : Area,35.496,mm^2,,
Specimen properties : Final length,50,mm,,
Specimen properties : Final thickness,3,mm,,
Specimen properties : Final width,12,mm,,
Specimen properties : Final area,36,mm^2,,
,,,,
Time,Extension,Load,Tensile strain (Strain 1),Tensile stress
(s),(mm),(N),(mm/mm),(MPa)
26.8,2.23346,6605.62793,0.02198,186.095
27,2.25019,6616.45459,0.02216,186.40001
27.2,2.26691,6626.49219,0.02233,186.6828
27.4,2.28352,6635.41162,0.0225,186.93408
27.6,2.30018,6647.05322,0.02267,187.26204
27.8,2.31678,6656.74365,0.02284,187.53505
28,2.33351,6667.7041,0.02301,187.84383
28.2,2.35011,6677.79883,0.02318,188.12822
28.4,2.36681,6687.76953,0.02335,188.40912
28.6,2.38359,6700.20947,0.02353,188.75957
28.8,2.4001,6706.35156,0.0237,188.9326
29,2.41686,6718.2124,0.02387,189.26675
29.2,2.43352,6727.46826,0.02404,189.52751
29.4,2.45019,6735.94092,0.02421,189.7662
29.6,2.46685,6748.22998,0.02438,190.11241
29.8,2.48349,6757.05322,0.02455,190.36099
30,2.50015,6767.67822,0.02472,190.66031
30.2,2.51684,6769.86328,0.02489,190.72188
30.4,2.53345,6783.99268,0.02506,191.11993
30.6,2.55017,6796.66113,0.02523,191.47682
30.8,2.56684,6805.17334,0.0254,191.71663
31,2.58347,6814.32129,0.02557,191.97435
31.2,2.60019,6825.41357,0.02574,192.28685
31.4,2.61686,6833.35596,0.02591,192.5106
31.6,2.63355,6843.44043,0.02608,192.79471
31.8,2.65016,6852.81104,0.02625,193.05869
32,2.66676,6861.39258,0.02642,193.30046
32.2,2.68354,6873.08398,0.02659,193.62982
32.4,2.70012,6879.84912,0.02676,193.82042
32.6,2.71678,6890.25244,0.02693,194.11349
32.8,2.73348,6899.85596,0.0271,194.38405
33,2.75023,6908.96191,0.02727,194.64058
33.2,2.76683,6917.18896,0.02744,194.87236
33.4,2.78353,6926.5791,0.02761,195.1369
33.6,2.80022,6935.16895,0.02778,195.37889
33.8,2.81683,6945.11914,0.02795,195.65921
34,2.83343,6953.12695,0.02812,195.88481
34.2,2.85015,6959.33496,0.02829,196.05971
34.4,2.86685,6972.49414,0.02846,196.43044
34.6,2.88348,6978.40918,0.02863,196.59706
34.8,2.90015,6988.87354,0.0288,196.89188
35,2.91684,6998.00342,0.02896,197.14908
35.2,2.93354,7005.91357,0.02913,197.37193
35.4,2.95017,7015.89502,0.0293,197.65312
35.6,2.96686,7022.94873,0.02947,197.85184
35.8,2.98353,7032.3667,0.02964,198.11717
36,3.00016,7040.7583,0.02981,198.35358
36.2,3.0168,7049.43311,0.02998,198.59796
36.4,3.03349,7059.3125,0.03015,198.8763
36.6,3.05015,7066.08301,0.03032,199.06703
36.8,3.06682,7074.98877,0.03049,199.31793
37,3.08348,7085.23633,0.03066,199.60663
37.2,3.10018,7091.83594,0.03083,199.79254
37.4,3.11687,7100.67578,0.031,200.04158
37.6,3.1335,7108.12207,0.03116,200.25136
37.8,3.1502,7115.57715,0.03133,200.4614
38,3.16686,7126.52734,0.0315,200.76988
38.2,3.18341,7133.03223,0.03167,200.95314
38.4,3.2001,7136.54297,0.03184,201.05205
38.6,3.21676,7148.09912,0.032,201.37761
38.8,3.23355,7158.11084,0.03217,201.65965
39,3.25015,7166.04688,0.03234,201.88322
39.2,3.26679,7174.01221,0.0325,202.10764
39.4,3.28363,7182.729,0.03267,202.35321
39.6,3.30017,7189.85205,0.03284,202.55388
39.8,3.31681,7196.6084,0.03301,202.74422
40,3.33356,7206.45117,0.03318,203.02151
40.2,3.35014,7214.9209,0.03335,203.26012
40.4,3.3668,7221.14453,0.03351,203.43546
40.6,3.38349,7230.40625,0.03368,203.69638
40.8,3.40013,7237.52441,0.03385,203.89691
41,3.41688,7245.82617,0.03402,204.13078
41.2,3.43343,7253.34424,0.03419,204.34259
41.4,3.45015,7261.46631,0.03436,204.57141
41.6,3.46688,7268.95557,0.03453,204.78239
41.8,3.48348,7276.02148,0.0347,204.98146
42,3.50017,7284.13037,0.03487,205.2099
42.2,3.51684,7292.85498,0.03504,205.45569
42.4,3.53347,7298.5249,0.03521,205.61543
42.6,3.5502,7307.10791,0.03537,205.85722
42.8,3.5668,7315.81543,0.03554,206.10254
43,3.58352,7321.62061,0.03571,206.26608
43.2,3.60019,7321.67822,0.03588,206.2677
43.4,3.61676,7335.00488,0.03604,206.64314
43.6,3.63358,7344.125,0.03621,206.90009
43.8,3.65021,7352.19873,0.03638,207.12753
44,3.66681,7356.99854,0.03654,207.26276
44.2,3.68351,7365.81152,0.03671,207.51103
44.4,3.70011,7372.8042,0.03688,207.70804
44.6,3.71684,7381.07324,0.03706,207.94099
44.8,3.73347,7388.7876,0.03722,208.15833
45,3.7501,7396.07227,0.03739,208.36356
45.2,3.76689,7403.82129,0.03756,208.58186
45.4,3.78346,7409.82666,0.03773,208.75104
45.6,3.80013,7416.4541,0.0379,208.93776
45.8,3.81691,7424.81934,0.03807,209.17342
46,3.83348,7429.97754,0.03824,209.31874
46.2,3.85018,7438.29102,0.03841,209.55295
46.4,3.86681,7445.88818,0.03858,209.76697
46.6,3.88345,7452.38574,0.03875,209.95003
46.8,3.9002,7460.37158,0.03892,210.175
47,3.91677,7466.26318,0.03909,210.34099
47.2,3.93347,7474.39551,0.03926,210.57008
47.4,3.95025,7481.01025,0.03943,210.75644
47.6,3.96677,7486.74854,0.0396,210.91811
47.8,3.98352,7494.9751,0.03977,211.14986
48,4.00022,7501.7832,0.03994,211.34166
48.2,4.01685,7507.40918,0.04021,211.50015
48.4,4.03354,7510.13818,0.04055,211.57704
48.6,4.05012,7511.19775,0.04088,211.60689
48.8,4.06687,7528.60254,0.04121,212.09721
49,4.08344,7534.96973,0.04154,212.2766
49.2,4.10011,7540.50635,0.04188,212.43257
49.4,4.11686,7549.31396,0.04221,212.68071
49.6,4.13353,7555.29395,0.04255,212.84917
49.8,4.15016,7560.15234,0.04288,212.98605
50,4.16686,7567.57031,0.04321,213.19502
50.2,4.18358,7574.19092,0.04355,213.38155
50.4,4.20021,7581.14453,0.04388,213.57744
50.6,4.21679,7587.73389,0.04421,213.76308
50.8,4.23342,7593.7627,0.04454,213.93292
51,4.25021,7602.26855,0.04488,214.17255
51.2,4.26678,7606.16064,0.04521,214.2822
51.4,4.28347,7613.13672,0.04555,214.47873
51.6,4.3002,7621.30176,0.04588,214.70876
51.8,4.3168,7625.14746,0.04621,214.81711
52,4.33353,7633.95361,0.04655,215.06519
52.2,4.35016,7640.03418,0.04688,215.2365
52.4,4.36685,7644.98486,0.04721,215.37596
52.6,4.38352,7653.06201,0.04755,215.60352
52.8,4.40015,7657.82422,0.04788,215.73767
53,4.41679,7664.89062,0.04821,215.93675
53.2,4.43354,7671.84473,0.04855,216.13266
53.4,4.45011,7676.70068,0.04888,216.26947
53.6,4.46684,7684.75928,0.04921,216.49649
53.8,4.48353,7690.45898,0.04955,216.65707
54,4.50023,7695.22021,0.04988,216.7912
54.2,4.51689,7702.61719,0.05021,216.99959
54.4,4.53346,7706.46338,0.05055,217.10794
54.6,4.55025,7714.62402,0.05088,217.33784
54.8,4.56676,7719.31689,0.05121,217.47006
55,4.58343,7725.64697,0.05154,217.64839
55.2,4.60018,7733.80566,0.05188,217.87823
55.4,4.61682,7738.15234,0.05221,218.0007
55.6,4.63348,7744.40479,0.05255,218.17683
55.8,4.65017,7750.65771,0.05288,218.353
56,4.6669,7756.66455,0.05321,218.52223
56.2,4.6835,7735.71631,0.05355,217.93207
56.4,4.70017,7767.87646,0.05388,218.83809
56.6,4.71686,7773.56641,0.05421,218.99838
56.8,4.73352,7780.7749,0.05455,219.20146
57,4.7501,7783.75098,0.05488,219.28531
57.2,4.76679,7789.73486,0.05521,219.45389
57.4,4.78349,7798.14648,0.05555,219.69086
57.6,4.80015,7800.0791,0.05588,219.74532
57.8,4.81684,7809.86914,0.05621,220.02112
58,4.83345,7814.4209,0.05654,220.14935
58.2,4.85023,7819.1875,0.05688,220.28363
58.4,4.86684,7825.64111,0.05721,220.46544
58.6,4.88353,7829.84863,0.05755,220.58398
58.8,4.90016,7836.73975,0.05788,220.77812
59,4.91689,7843.29785,0.05821,220.96288
59.2,4.93346,7846.95459,0.05854,221.06589
59.4,4.95016,7854.06299,0.05888,221.26616
59.6,4.96685,7859.49219,0.05921,221.4191
59.8,4.98354,7864.6875,0.05955,221.56548
60,5.00015,7871.58594,0.05988,221.75981
60.2,5.01684,7875.22998,0.06021,221.86247
60.4,5.03363,7882.57324,0.06055,222.06935
60.6,5.05011,7885.56543,0.06088,222.15364
60.8,5.0668,7891.6333,0.06121,222.32458
61,5.0835,7899.16895,0.06155,222.53688
61.2,5.1001,7902.32324,0.06188,222.62575
61.4,5.11683,7908.83057,0.06221,222.80908
61.6,5.13346,7914.38135,0.06254,222.96545
61.8,5.15019,7920.20508,0.06288,223.12952
62,5.16685,7924.42773,0.06321,223.24847
62.2,5.18345,7929.71484,0.06354,223.39743
62.4,5.20021,7935.24854,0.06388,223.55333
62.6,5.21684,7941.24658,0.06421,223.72231
62.8,5.23348,7945.13672,0.06455,223.83189
63,5.25017,7951.61279,0.06488,224.01434
63.2,5.2668,7958.0625,0.06521,224.19604
63.4,5.28353,7960.06787,0.06555,224.25255
63.6,5.30016,7968.39209,0.06588,224.48706
63.8,5.3168,7972.4917,0.06621,224.60255
64,5.33358,7978.23584,0.06655,224.76437
64.2,5.35012,7982.69971,0.06688,224.89014
64.4,5.36685,7988.22949,0.06721,225.04591
64.6,5.38354,7993.57959,0.06755,225.19664
64.8,5.40024,7998.83691,0.06788,225.34476
65,5.41684,8000.8208,0.06821,225.40063
65.2,5.43347,8000.81543,0.06855,225.4005
65.4,5.45014,8012.98633,0.06888,225.74338
65.6,5.46686,8018.58398,0.06921,225.90106
65.8,5.48344,8023.39746,0.06954,226.03668
66,5.50016,8027.47998,0.06988,226.15169
66.2,5.51694,8034.49951,0.07021,226.34944
66.4,5.53343,8036.92627,0.07054,226.41782
66.6,5.55021,8041.74023,0.07088,226.55344
66.8,5.56685,8047.78174,0.07121,226.72363
67,5.58351,8051.34619,0.07155,226.82405
67.2,5.60017,8057.92529,0.07188,227.0094
67.4,5.61675,8061.85596,0.07221,227.12013
67.6,5.6335,8067.85547,0.07255,227.28915
67.8,5.65017,8070.71777,0.07288,227.3698
68,5.66677,8076.3042,0.07321,227.52718
68.2,5.68355,8081.87891,0.07355,227.68422
68.4,5.70019,8086.51172,0.07388,227.81474
68.6,5.71679,8089.79932,0.07421,227.90736
68.8,5.73355,8096.14062,0.07455,228.08601
69,5.75015,8100.32715,0.07488,228.20395
69.2,5.76688,8105.03076,0.07521,228.33647
69.4,5.78348,8110.66309,0.07555,228.49513
69.6,5.80008,8113.92578,0.07588,228.58705
69.8,5.8169,8121.13574,0.07621,228.79018
70,5.83344,8124.4082,0.07654,228.88237
70.2,5.85014,8130.32812,0.07688,229.04915
70.4,5.86683,8134.29297,0.07721,229.16084
70.6,5.88355,8138.8457,0.07755,229.28911
70.8,5.90022,8142.88916,0.07788,229.40302
71,5.91685,8147.00293,0.07821,229.51891
71.2,5.93352,8151.98926,0.07855,229.65939
71.4,5.95018,8157.26904,0.07888,229.80814
